Gene,ChineseAmber,Leoti,pi229841,pi297155,pi300119,pi329311,pi506069,pi510757,pi655972,Rio,tx430,btx623,Grassl
3381.casb001g009680.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g010020.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g010320.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g010620.635,0,1,1,0,1,1,1,1,1,1,1,1,1
3381.casb001g010680.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g010740.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g010880.635,1,1,1,1,0,0,1,1,1,0,1,0,0
3381.casb001g010940.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g011010.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g011150.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g011190.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g011210.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g011290.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g011550.635,0,1,0,0,0,0,0,0,0,1,0,0,0
3381.casb001g011720.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g012080.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g012100.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g012880.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g012980.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g013020.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g013120.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g013180.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g013210.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g013730.635,0,0,0,0,0,0,0,0,0,0,1,0,0
3381.casb001g013850.635,0,1,1,1,1,0,1,0,1,1,1,1,1
3381.casb001g014000.635,1,1,0,0,1,1,1,0,0,0,0,0,0
3381.casb001g014820.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g014860.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g014870.635,0,0,0,0,0,0,0,0,0,0,1,1,1
3381.casb001g015050.635,0,0,0,0,0,0,0,0,0,0,1,1,1
